Logement,Nombre_pieces,Etage,Surface_Reelle,Date_Construction,Consommation_Reelle
2,2,02,66,1977,209
3,3,00,70,2011,
4,4,01,79,2009,141
5,5,01,87,1957,230
6,6,01,122,1963,214
7,7,01,135,1963,214
1,1,01,37,1915,
2,2,00,57,1976,570
3,3,00,79,1975,
4,4,00,139,1975,
5,5,00,107,73,1975,
6,6,00,108,1975,188
7,7,00,122,1975,188
8,8,00,142,1932,260
1,1,00,29,1957,189
2,2,02,38,1957,189
3,3,02,64,1973,297
4,4,01,73,1973,297
5,5,03,72,1957,189
6,6,01,82,1960,165
7,7,02,102,1960,150
8,8,00,201,1976,130